Time,Price
21353,1.23317
21354,1.23321
21355,1.23338
21356,1.23254
21357,1.2341
21358,1.23465
21359,1.23438
21360,1.23425
21361,1.23554
21362,1.23594
21363,1.2361
21364,1.23748
21365,1.23697
21366,1.23562
21367,1.23533
21368,1.23485
21369,1.23321
21370,1.23369
21371,1.23222
21372,1.23282
21373,1.23337
21374,1.23306
21375,1.23301
21376,1.23241
21377,1.23207
21378,1.23184
21379,1.232
21380,1.2324
21381,1.23232
21382,1.23259
21383,1.23235
21384,1.23231
21385,1.23279
21386,1.23272
21387,1.23314
21388,1.23216
21389,1.23324
21390,1.23097
21391,1.22866
21392,1.22749
21393,1.2284
21394,1.22829
21395,1.22817
21396,1.22864
21397,1.22838
21398,1.22843
21399,1.22883
21400,1.22852
21401,1.22886
21402,1.22861
21403,1.22824
21404,1.22884
21405,1.23025
21406,1.22929
21407,1.22905
21408,1.22825
21409,1.2279
21410,1.2282
21411,1.22646
21412,1.2266
21413,1.22755
21414,1.227
21415,1.22775
21416,1.22797
21417,1.23229
21418,1.23289
21419,1.23624
21420,1.23558
21421,1.23592
21422,1.23679
21423,1.23611
21424,1.23549
21425,1.23568
21426,1.23558
21427,1.23556
21428,1.23562
21429,1.23538
21430,1.23558
21431,1.23506
21432,1.23461
21433,1.23446
21434,1.2348
21435,1.23698
21436,1.23448
21437,1.23681
21438,1.2369
21439,1.23598
21440,1.2343
21441,1.23513
21442,1.23268
21443,1.22959
21444,1.23128
21445,1.23188
21446,1.2318
21447,1.23213
21448,1.23334
21449,1.23353
21450,1.2338
21451,1.2338
21452,1.23315
21453,1.23285
21454,1.23276
21455,1.23335
21456,1.23318
21457,1.23319
21458,1.23335
21459,1.23567
21460,1.23546
21461,1.23507
21462,1.23433
21463,1.23212
21464,1.23057
21465,1.23077
21466,1.23146
21467,1.2341
21468,1.23425
21469,1.23403
21470,1.23408
21471,1.23465
21472,1.23492
21473,1.23445
21474,1.23459
21475,1.235
21476,1.23506
21477,1.2351
21478,1.23567
21479,1.23557
21480,1.23528
21481,1.23599
21482,1.23578
21483,1.23651
21484,1.2403
21485,1.24078
21486,1.24084
21487,1.24208
21488,1.24264
21489,1.24568
21490,1.24691
21491,1.24794
21492,1.24707
21493,1.24769
21494,1.2477
21495,1.24657
21496,1.24631
21497,1.24718
21498,1.24702
21499,1.24697
21500,1.24759
21501,1.24723
21502,1.24648
21503,1.2464
21504,1.24599
21505,1.24685
21506,1.24592
21507,1.24632
21508,1.24591
21509,1.24758
21510,1.24667
21511,1.24535
21512,1.24516
21513,1.24425
21514,1.24775
21515,1.2466
21516,1.24717
21517,1.24672
21518,1.24719
21519,1.2528
21520,1.25206
21521,1.25284
21522,1.25298
21523,1.25333
21524,1.25334
21525,1.25326
21526,1.2544
21527,1.25388
21528,1.25466
21529,1.25381
21530,1.2533
21531,1.25601
21532,1.25559
21533,1.25448
21534,1.25586
21535,1.2553
21536,1.25443
21537,1.25491
21538,1.25426
21539,1.2583
21540,1.25821
21541,1.25759
21542,1.25651
21543,1.25644
21544,1.25605
21545,1.25624
21546,1.25639
21547,1.25586
21548,1.25592
21549,1.25552
21550,1.2559
21551,1.25602
21552,1.25607
21553,1.25553
21554,1.25621
21555,1.25478
21556,1.25332
21557,1.25459
21558,1.25349
21559,1.25257
21560,1.2508
21561,1.24969
21562,1.25006
21563,1.2515
21564,1.25326
21565,1.25349
21566,1.25351
21567,1.2517
21568,1.25113
21569,1.25116
21570,1.25118
21571,1.25184
21572,1.25045
21573,1.25099
21574,1.25057
21575,1.25088
21576,1.25092
21577,1.25088
21578,1.25029
21579,1.2494
21580,1.2515
21581,1.25216
21582,1.25129
21583,1.25269
21584,1.25193
21585,1.25265
21586,1.25133
21587,1.25153
21588,1.25133
21589,1.2512
21590,1.2511
21591,1.25025
21592,1.24977
21593,1.24981
21594,1.2497
21595,1.25024
21596,1.25003
21597,1.24829
21598,1.24738
21599,1.24787
21600,1.24803
21601,1.24836
21602,1.24922
21603,1.24817
21604,1.25054
21605,1.25306
21606,1.25461
21607,1.25412
21608,1.25461
21609,1.2544
21610,1.25498
21611,1.25658
21612,1.25635
21613,1.25697
21614,1.25671
21615,1.25612
21616,1.25665
21617,1.25641
21618,1.25633
21619,1.25643
21620,1.25698
21621,1.25593
21622,1.25552
21623,1.25567
21624,1.25548
21625,1.2557
21626,1.25569
21627,1.25535
21628,1.25379
21629,1.25577
21630,1.25575
21631,1.25567
21632,1.25447
21633,1.255
21634,1.25291
21635,1.2526
21636,1.25361
21637,1.25271
21638,1.25304
21639,1.25264
21640,1.25293
21641,1.25293
21642,1.25305
21643,1.25327
21644,1.25301
21645,1.25286
21646,1.25354
21647,1.25349
21648,1.25377
21649,1.25348
21650,1.25527
21651,1.25479
21652,1.25504
21653,1.2549
21654,1.25511
21655,1.2541
21656,1.25417
21657,1.25458
21658,1.25489
21659,1.24981
21660,1.24976
21661,1.25019
21662,1.24983
21663,1.25062
21664,1.25079
21665,1.25058
21666,1.25057
21667,1.25088
21668,1.25077
21669,1.25143
21670,1.25154
21671,1.25152
21672,1.25167
21673,1.25134
21674,1.25017
21675,1.25079
21676,1.2512
21677,1.25462
21678,1.2566
21679,1.25825
21680,1.25916
21681,1.26103
21682,1.26001
21683,1.26037
21684,1.25773
21685,1.25682
21686,1.25671
21687,1.25801
21688,1.25788
21689,1.25737
21690,1.25803
21691,1.25753
21692,1.25728
21693,1.25608
21694,1.25644
21695,1.25805
21696,1.25732
21697,1.25802
21698,1.25709
21699,1.2568
21700,1.25708
21701,1.25688
21702,1.25668
21703,1.25721
21704,1.25719
21705,1.25688
21706,1.257
21707,1.25821
21708,1.25954
21709,1.25966
21710,1.25949
21711,1.25951
21712,1.25924
21713,1.25921
21714,1.25872
21715,1.25875
21716,1.25857
21717,1.25933
21718,1.26109
21719,1.2616
21720,1.26161
21721,1.26086
21722,1.26124
21723,1.26185
21724,1.26147
21725,1.2605
21726,1.26053
21727,1.25846
21728,1.25928
21729,1.25668
21730,1.25734
21731,1.25623
21732,1.25649
21733,1.25605
21734,1.2562
21735,1.25717
21736,1.25627
21737,1.25649
21738,1.25667
21739,1.25637
21740,1.25332
21741,1.2531
21742,1.25386
21743,1.25379
21744,1.25354
21745,1.25366
21746,1.25358
21747,1.25256
21748,1.25265
21749,1.25107
21750,1.25467
21751,1.25467
21752,1.255
21753,1.26042
21754,1.25971
21755,1.26026
21756,1.26022
21757,1.26037
21758,1.25983
21759,1.25981
21760,1.25939
21761,1.25997
21762,1.2602
21763,1.25954
21764,1.25997
21765,1.25979
21766,1.26105
21767,1.2613
21768,1.26086
21769,1.26049
21770,1.26101
21771,1.26215
21772,1.26146
21773,1.26151
21774,1.26122
21775,1.26143
21776,1.26375
21777,1.25888
21778,1.25774
21779,1.26347
21780,1.26266
21781,1.26308
21782,1.26374
21783,1.26462
21784,1.26361
21785,1.26302
21786,1.26321
21787,1.26286
21788,1.26301
21789,1.26289
21790,1.2629
21791,1.26308
21792,1.2634
21793,1.26359
21794,1.26368
21795,1.26382
21796,1.26709
21797,1.26684
21798,1.26817
21799,1.2689
21800,1.27049
21801,1.27663
21802,1.27546
21803,1.28017
21804,1.27941
21805,1.27887
21806,1.27919
21807,1.27957
21808,1.28045
21809,1.28064
21810,1.27968
21811,1.27948
21812,1.27874
21813,1.2788
21814,1.27909
21815,1.27859
21816,1.2783
21817,1.27846
21818,1.27849
21819,1.2787
21820,1.27828
21821,1.27789
21822,1.27816
21823,1.27771
21824,1.27851
21825,1.27801
21826,1.27844
21827,1.27941
21828,1.27824
21829,1.27796
21830,1.27683
21831,1.27578
21832,1.27582
21833,1.27578
21834,1.27607
21835,1.27609
21836,1.27648
21837,1.27686
21838,1.27764
21839,1.27748
21840,1.27691
21841,1.27664
21842,1.28027
21843,1.28
21844,1.28009
21845,1.27963
21846,1.27949
21847,1.27756
21848,1.281
21849,1.28368
21850,1.28445
21851,1.28577
21852,1.28608
21853,1.28599
21854,1.28601
21855,1.28576
21856,1.28543
21857,1.28506
21858,1.28554
21859,1.28507
21860,1.28521
21861,1.28537
21862,1.28607
21863,1.28603
21864,1.28727
21865,1.28657
21866,1.28723
21867,1.28638
21868,1.28806
21869,1.2926
21870,1.29175
21871,1.2897
